state,slug,lat,lng
NY,adirondack-golf-country-club,44.5695,-73.556
NY,afton-golf-club,42.2412,-75.5155
NY,airway-meadows-golf-club,43.240781,-73.641893
NY,alapaha-golf-links,41.96,-74.01
NY,albany-country-club,42.675614,-73.920148
NY,alexandria-bay-municipal-golf-course,44.33,-75.91
NY,amsterdam-municipal-golf-course,42.9607,-74.1952
NY,anglebrook-golf-club,41.32098,-73.718796
NY,apalachin-golf-course,42.016976,-76.162075
NY,apawamis-club,40.98,-73.6905
NY,apple-greens-golf-course,41.7188,-74.0479
NY,ardsley-country-club,41.04736,-73.861316
NY,arrowhead-golf-club,43.011709,-78.527115
NY,arrowhead-golf-course,43.085936,-75.973091
NY,atlantic-golf-club,40.927,-72.318
NY,attica-golf-club,42.865,-78.282
NY,audubon-golf-course,43.0006,-78.784
NY,ausable-club,44.1507,-73.7785
NY,ausable-valley-golf-course,44.447,-73.687
NY,baiting-hollow-club,40.954,-72.714
NY,ballston-spa-country-club,42.99,-73.93
NY,bally-s-golf-links-at-ferry-point,40.8338,-73.8382
NY,barker-brook-golf-club,42.9387,-75.4804
NY,bartlett-country-club,42.09,-78.45
NY,batavia-country-club,43.0,-78.187
NY,bath-country-club,42.34249,-77.300586
NY,battenkill-country-club,43.0918,-73.5034
NY,battle-island-state-park-golf-course,43.36173,-76.441128
NY,bay-park-golf-course,40.643,-73.664
NY,beach-point-club,40.937933,-73.725824
NY,beaver-island-state-park-golf-course,42.968241,-78.96973
NY,bedford-golf-and-tennis-club,41.204,-73.6435
NY,beekman-golf-course,41.5935,-73.7763
NY,belden-hill-golf-course,42.197733,-75.698709
NY,bellevue-country-club,43.027796,-76.190288
NY,bellport-country-club,40.7537,-72.9478
NY,bemus-point-golf-club,42.162,-79.39
NY,bergen-point-golf-course,40.6398,-73.356
NY,bethpage-state-park-black-course,40.7395,-73.4554
NY,bethpage-state-park-blue-course,40.7395,-73.4554
NY,bethpage-state-park-green-course,40.7395,-73.4554
NY,bethpage-state-park-red-course,40.7395,-73.4554
NY,bethpage-state-park-yellow-course,40.7395,-73.4554
NY,big-oak-golf-course,42.906237,-76.965375
NY,binghamton-country-club,42.126186,-76.006162
NY,birch-run-country-club,42.0906,-78.4964
NY,blackhead-mountain-lodge-country-club,42.295,-74.053
NY,blind-brook-club,41.04,-73.7115
NY,blue-heron-hills-country-club,43.145,-77.285
NY,blue-hill-golf-course,41.0482,-73.9865
NY,blue-stone-golf-course,42.4514,-75.5967
NY,bluff-point-golf-country-club,44.6455,-73.4462
NY,bonavista-golf-club,42.672055,-76.860033
NY,bonnie-briar-country-club,40.95411,-73.771442
NY,boston-hills-country-club,42.63,-78.74
NY,brae-burn-country-club,41.035,-73.708
NY,brae-burn-golf-course,42.553987,-77.694685
NY,braemar-country-club,43.218961,-77.76284
